trip_id,duration,start_time,end_time,bike_id,trip_route_category,plan_duration,passholder_type,bike_type,start_station,end_station,start_lat,start_lon,end_lat,end_lon,taxicab_distance
171387686,18,9/21/2021 10:15,9/21/2021 10:33,6583,One Way,30,Monthly Pass,standard,3046,4448,34.052872,-118.24749,34.03027,-118.273193,0.048305
171387882,6,9/21/2021 10:34,9/21/2021 10:40,6571,One Way,30,Monthly Pass,standard,3034,3007,34.042061,-118.263382,34.05048,-118.254593,0.017208
171387883,17,9/21/2021 10:27,9/21/2021 10:44,6435,One Way,1,Walk-up,standard,4300,3031,34.04887,-118.2743,34.044701,-118.252441,0.026028
171387982,3,9/21/2021 10:47,9/21/2021 10:49,6260,One Way,30,Monthly Pass,standard,4250,4254,34.03017,-118.280952,34.028679,-118.284111,0.00465
171387983,3,9/21/2021 10:42,9/21/2021 10:45,6272,One Way,30,Monthly Pass,standard,4304,4450,34.06258,-118.290092,34.063492,-118.287163,0.003841
171390783,9,9/21/2021 11:04,9/21/2021 11:13,12030,One Way,30,Monthly Pass,standard,4450,4440,34.063492,-118.287163,34.061661,-118.298241,0.012909
171390784,24,9/21/2021 10:49,9/21/2021 11:13,15537,One Way,30,Monthly Pass,standard/smart,4245,4273,34.02404,-118.283409,34.02586,-118.284103,0.002514
171390882,6,9/21/2021 11:13,9/21/2021 11:19,20047,One Way,30,Monthly Pass,standard,4206,4207,33.998341,-118.461014,34.000881,-118.46891,0.010436
171390883,13,9/21/2021 11:06,9/21/2021 11:19,12354,One Way,30,Monthly Pass,standard,4447,4304,34.0616,-118.28199,34.06258,-118.290092,0.009082
171390907,94,9/21/2021 9:45,9/21/2021 11:19,12126,One Way,1,Walk-up,standard,4204,4210,33.988419,-118.45163,33.984341,-118.47155,0.023998
171391082,6,9/21/2021 11:20,9/21/2021 11:26,15965,One Way,365,Annual Pass,standard/smart,3046,3082,34.052872,-118.24749,34.04652,-118.237411,0.016431
171391084,16,9/21/2021 11:13,9/21/2021 11:29,15924,One Way,30,Monthly Pass,standard,4448,3035,34.03027,-118.273193,34.048401,-118.260948,0.030376
171391182,3,9/21/2021 11:31,9/21/2021 11:34,18954,Round Trip,30,Monthly Pass,electric,3010,3010,34.037048,-118.254868,34.037048,-118.254868,0
171391183,4,9/21/2021 11:29,9/21/2021 11:33,5728,Round Trip,1,Walk-up,standard,4544,4544,33.928459,-118.435204,33.928459,-118.435204,0
171391184,6,9/21/2021 11:26,9/21/2021 11:32,20091,Round Trip,1,Walk-up,standard,4544,4544,33.928459,-118.435204,33.928459,-118.435204,0
171397990,16,9/21/2021 13:04,9/21/2021 13:20,20056,One Way,30,Monthly Pass,standard,3065,3007,34.060558,-118.238327,34.05048,-118.254593,0.026344
171398083,9,9/21/2021 13:18,9/21/2021 13:27,13902,One Way,30,Monthly Pass,standard,3005,4491,34.0485,-118.258537,34.04744,-118.24794,0.011657
171398094,26,9/21/2021 13:03,9/21/2021 13:29,12139,Round Trip,30,Monthly Pass,standard,4220,4220,34.074829,-118.258728,34.074829,-118.258728,0
171398182,5,9/21/2021 13:30,9/21/2021 13:35,13770,One Way,1,Walk-up,standard,4583,4582,33.976189,-118.418419,33.980991,-118.414879,0.008342
171398183,2,9/21/2021 13:28,9/21/2021 13:30,20089,Round Trip,1,One Day Pass,standard,4581,4581,33.970242,-118.426071,33.970242,-118.426071,0
171398185,8,9/21/2021 13:25,9/21/2021 13:33,13873,One Way,1,Walk-up,standard,4293,4447,34.062279,-118.271523,34.0616,-118.28199,0.011146
171398282,4,9/21/2021 13:32,9/21/2021 13:36,6053,One Way,30,Monthly Pass,standard,3042,3030,34.049301,-118.238808,34.051941,-118.24353,0.007362
171398287,14,9/21/2021 13:21,9/21/2021 13:35,19174,One Way,30,Monthly Pass,electric,4545,4544,33.95879,-118.44828,33.928459,-118.435204,0.043407
171398294,26,9/21/2021 13:09,9/21/2021 13:35,6044,One Way,1,Walk-up,standard,3025,3062,34.03286,-118.268082,34.047749,-118.243172,0.039799
171398310,44,9/21/2021 12:51,9/21/2021 13:35,6271,One Way,30,Monthly Pass,standard,3007,3034,34.05048,-118.254593,34.042061,-118.263382,0.017208
171398382,4,9/21/2021 13:38,9/21/2021 13:42,14039,One Way,30,Monthly Pass,standard,3035,3074,34.048401,-118.260948,34.04417,-118.261169,0.004452
171398383,6,9/21/2021 13:34,9/21/2021 13:40,16144,One Way,30,Monthly Pass,standard,4563,4571,34.017681,-118.409081,34.027649,-118.413559,0.014446
171398384,8,9/21/2021 13:32,9/21/2021 13:40,13244,One Way,30,Monthly Pass,standard,4479,4454,34.031502,-118.288742,34.017899,-118.291718,0.016579
171398395,29,9/21/2021 13:11,9/21/2021 13:40,17321,One Way,30,Monthly Pass,electric,4568,4572,34.029121,-118.403168,34.02948,-118.410469,0.00766
171398482,7,9/21/2021 13:40,9/21/2021 13:47,15661,Round Trip,30,Monthly Pass,standard/smart,3031,3031,34.044701,-118.252441,34.044701,-118.252441,0
171398603,45,9/21/2021 13:07,9/21/2021 13:52,15795,One Way,1,One Day Pass,standard,4210,4211,33.984341,-118.47155,33.984928,-118.469963,0.002174
171398682,13,9/21/2021 13:42,9/21/2021 13:55,17321,One Way,30,Monthly Pass,electric,4572,4558,34.02948,-118.410469,34.025688,-118.395302,0.018959
171398685,23,9/21/2021 13:36,9/21/2021 13:59,17463,Round Trip,30,Monthly Pass,electric,4544,4544,33.928459,-118.435204,33.928459,-118.435204,0
171401083,10,9/21/2021 13:54,9/21/2021 14:04,12280,One Way,30,Monthly Pass,standard,4479,4454,34.031502,-118.288742,34.017899,-118.291718,0.016579
171401084,13,9/21/2021 13:49,9/21/2021 14:02,6454,One Way,30,Monthly Pass,standard,4206,4209,33.998341,-118.461014,33.996239,-118.477448,0.018536
171401182,3,9/21/2021 14:06,9/21/2021 14:09,14039,One Way,30,Monthly Pass,standard,3074,3034,34.04417,-118.261169,34.042061,-118.263382,0.004322
171401184,6,9/21/2021 14:00,9/21/2021 14:06,6026,One Way,30,Monthly Pass,standard,4250,4249,34.03017,-118.280952,34.020302,-118.281181,0.010097
